[hazard-ext] parsed: baseline (P1) 37 dispatches / 36 loaders, EXT 46 dispatches / 45 loaders
[hazard-ext] C5: bounds + DW region lifetime
[hazard-ext] C1: loader region == engine read region
[hazard-ext] C2/C3/C4 per-dispatch verdicts (A=strict for EXT-touched, B=P1-baseline-equivalent for inherited)
   d module                read           write fill(d+1)                wxr / rxf / wxf
   0 conv_814   [    0,+12544) [12544,+12544) u_ldr_node_conv_816      disjoint / disjoint / redundant-copy  [B]
   1 conv_816   [12544,+12544) [12544,+12544) u_ldr_node_conv_820      in-place-1x1 / disjoint / disjoint  [B]
   2 conv_820   [ 4096,+3136 ) [    0,+3136 ) u_ldr_node_conv_822      disjoint / disjoint / redundant-copy  [B]
   3 conv_822   [    0,+3136 ) [ 4096,+3136 ) u_ldr_node_conv_824      disjoint / disjoint / disjoint  [A]
   4 conv_824   [ 9368,+3136 ) [12504,+3136 ) u_ldr_node_conv_826      disjoint / disjoint / disjoint  [A]
   5 conv_826   [    0,+3136 ) [ 4096,+3136 ) u_ldr_node_conv_828      disjoint / lag-safe-1x1 / disjoint  [B]
   6 conv_828   [    0,+3136 ) [ 4096,+3136 ) u_ldr_node_conv_832      disjoint / RATE / disjoint  [B]
   7 conv_832   [    0,+784  ) [ 4096,+784  ) u_ldr_node_conv_834      disjoint / disjoint / redundant-copy  [B]
   8 conv_834   [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_836      disjoint / disjoint / disjoint  [A]
   9 conv_836   [15640,+784  ) [16424,+784  ) u_ldr_node_conv_838      disjoint / disjoint / disjoint  [A]
  10 conv_838   [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_840      disjoint / lag-safe-1x1 / disjoint  [B]
  11 conv_840   [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_842      disjoint / disjoint / disjoint  [A]
  12 conv_842   [17208,+784  ) [17992,+784  ) u_ldr_node_conv_844      disjoint / disjoint / disjoint  [A]
  13 conv_844   [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_846      disjoint / lag-safe-1x1 / disjoint  [B]
  14 conv_846   [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_850      disjoint / RATE / disjoint  [B]
  15 conv_850   [ 4096,+196  ) [    0,+196  ) u_ldr_node_conv_852      disjoint / disjoint / redundant-copy  [B]
