[hazard-q] parsed: baseline (FC) 47 dispatches / 46 loaders, QUARTET 50 dispatches / 49 loaders; applied = node_conv_830@7, node_conv_848@16, node_conv_890@37
[hazard-q] C5: act-region bounds (ACT_DEPTH=25600)
[hazard-q] C1: loader region == engine read region
[hazard-q] C2/C3/C4 per-dispatch verdicts (A=strict/lag for touched, B=FC-baseline-identical for inherited; renumbered dispatch map)
   d module                  read           write fill(d+1)                wxr / rxf / wxf
   0 conv_814     [    0,+12544) [12544,+12544) u_ldr_node_conv_816      disjoint / disjoint / redundant-copy  [B]
   1 conv_816     [12544,+12544) [12544,+12544) u_ldr_node_conv_820      in-place-1x1 / disjoint / disjoint  [B]
   2 conv_820     [ 4096,+3136 ) [    0,+3136 ) u_ldr_node_conv_822      disjoint / disjoint / redundant-copy  [B]
   3 conv_822     [    0,+3136 ) [ 4096,+3136 ) u_ldr_node_conv_824      disjoint / disjoint / disjoint  [B]
   4 conv_824     [ 9368,+3136 ) [12504,+3136 ) u_ldr_node_conv_826      disjoint / disjoint / disjoint  [B]
   5 conv_826     [    0,+3136 ) [ 4096,+3136 ) u_ldr_node_conv_828      disjoint / lag-safe-1x1 / disjoint  [B]
   6 conv_828     [    0,+3136 ) [ 4096,+3136 ) u_ldr_node_conv_830      disjoint / disjoint / disjoint  [A]
   7 conv_830     [ 9368,+3136 ) [12504,+784  ) u_ldr_node_conv_832      disjoint / disjoint / disjoint  [A]
   8 conv_832     [    0,+784  ) [ 4096,+784  ) u_ldr_node_conv_834      disjoint / disjoint / redundant-copy  [B]
   9 conv_834     [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_836      disjoint / disjoint / disjoint  [B]
  10 conv_836     [15640,+784  ) [16424,+784  ) u_ldr_node_conv_838      disjoint / disjoint / disjoint  [B]
  11 conv_838     [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_840      disjoint / lag-safe-1x1 / disjoint  [B]
  12 conv_840     [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_842      disjoint / disjoint / disjoint  [B]
  13 conv_842     [17208,+784  ) [17992,+784  ) u_ldr_node_conv_844      disjoint / disjoint / disjoint  [B]
  14 conv_844     [ 4096,+784  ) [    0,+784  ) u_ldr_node_conv_846      disjoint / lag-safe-1x1 / disjoint  [B]
