module_id,op_type,cycles_per_frame,pipeline_fill_cycles,fmax_mhz,fps,num_vectors
node_conv_810,conv2d,11503073.63,1140,384.47,33.4230,8
n4,relu,0.00,0,0.00,0.0000,0
node_conv_812,conv2d,4240099.63,452,338.07,79.7307,8
n4_2,relu,0.00,0,0.00,0.0000,0
node_conv_814,conv2d,6736128.88,537,379.51,56.3390,8
node_conv_816,conv2d,21086464.88,1681,420.52,19.9427,8
n4_3,relu,0.00,0,0.00,0.0000,0
node_conv_818,conv2d,3161204.88,1124,148.39,46.9410,8
n4_4,relu,0.00,0,0.00,0.0000,0
node_conv_820,conv2d,7341376.88,2341,358.68,48.8573,8
node_conv_822,conv2d,11518528.88,3673,381.97,33.1614,8
n4_5,relu,0.00,0,0.00,0.0000,0
node_conv_824,conv2d,4741692.88,1572,146.35,30.8642,8
n4_6,relu,0.00,0,0.00,0.0000,0
node_conv_826,conv2d,10954048.88,3493,331.90,30.2989,8
node_add_198,add,84672.88,27,382.12,4512.8611,8
node_conv_828,conv2d,11518528.88,3673,381.97,33.1614,8
n4_7,relu,0.00,0,0.00,0.0000,0
node_conv_830,conv2d,1185468.88,1572,135.57,114.3639,8
n4_8,relu,0.00,0,0.00,0.0000,0
node_conv_832,conv2d,3651088.88,4657,331.90,90.9031,8
node_conv_834,conv2d,5043472.88,6433,365.76,72.5223,8
n4_9,relu,0.00,0,0.00,0.0000,0
node_conv_836,conv2d,1580576.88,2048,161.45,102.1441,8
n4_10,relu,0.00,0,0.00,0.0000,0
node_conv_838,conv2d,4855312.88,6193,330.25,68.0185,8
node_add_336,add,27440.88,35,342.70,12488.6863,8
node_conv_840,conv2d,5043472.88,6433,378.93,75.1330,8
n4_11,relu,0.00,0,0.00,0.0000,0
node_conv_842,conv2d,1580576.88,2048,164.15,103.8543,8
n4_12,relu,0.00,0,0.00,0.0000,0
node_conv_844,conv2d,4855312.88,6193,330.25,68.0185,8
node_add_408,add,27440.88,35,339.44,12369.9887,8
node_conv_846,conv2d,5043472.88,6433,379.51,75.2471,8
n4_13,relu,0.00,0,0.00,0.0000,0
node_conv_848,conv2d,395168.88,2048,148.50,375.7891,8
n4_14,relu,0.00,0,0.00,0.0000,0
node_conv_850,conv2d,2427460.88,12385,330.25,136.0479,8
node_conv_852,conv2d,4929988.88,25153,365.76,74.1917,8
n4_15,relu,0.00,0,0.00,0.0000,0
node_conv_854,conv2d,790290.88,4050,154.23,195.1507,8
n4_16,relu,0.00,0,0.00,0.0000,0
node_conv_856,conv2d,4835908.88,24673,323.21,66.8346,8
node_add_546,add,13132.88,67,333.22,25373.1387,8
node_conv_858,conv2d,4929988.88,25153,365.76,74.1917,8
n4_17,relu,0.00,0,0.00,0.0000,0
node_conv_860,conv2d,790290.88,4050,153.07,193.6870,8
n4_18,relu,0.00,0,0.00,0.0000,0
node_conv_862,conv2d,4835908.88,24673,323.21,66.8346,8
node_add_618,add,13132.88,67,330.14,25138.5901,8
node_conv_864,conv2d,4929988.88,25153,365.76,74.1917,8
n4_19,relu,0.00,0,0.00,0.0000,0
node_conv_866,conv2d,790290.88,4050,153.92,194.7602,8
n4_20,relu,0.00,0,0.00,0.0000,0
node_conv_868,conv2d,4835908.88,24673,323.21,66.8346,8
node_add_690,add,13132.88,67,330.14,25138.5901,8
node_conv_870,conv2d,4929988.88,25153,365.76,74.1917,8
n4_21,relu,0.00,0,0.00,0.0000,0
node_conv_872,conv2d,790290.88,4050,154.63,195.6637,8
n4_22,relu,0.00,0,0.00,0.0000,0
node_conv_874,conv2d,7253764.88,37009,323.21,44.5570,8
node_conv_876,conv2d,11011475.88,56163,268.89,24.4190,8
n4_23,relu,6860.88,18,215.75,31446.3870,8
node_conv_878,conv2d,1185427.88,6066,155.98,131.5828,8
