module_id,op_type,cycles_per_frame,pipeline_fill_cycles,fmax_mhz,fps,num_vectors
node_conv_196,conv2d,119282023.63,10190,187.30,1.5702,8
node_relu,relu,0.00,0,0.00,0.0000,0
node_max_pool2d,maxpool,15906.88,231,166.86,10489.8881,8
node_conv_198,conv2d,13149248.88,4193,365.76,27.8164,8
node_relu_1,relu,0.00,0,0.00,0.0000,0
node_conv_200,conv2d,115912947.63,37020,211.91,1.8282,8
node_relu_2,relu,0.00,0,0.00,0.0000,0
node_conv_202,conv2d,52587584.88,16769,365.76,6.9553,8
node_conv_204,conv2d,52587584.88,16769,365.76,6.9553,8
node_add,add,812224.88,259,283.61,349.1736,8
node_relu_3,relu,0.00,0,0.00,0.0000,0
node_conv_206,conv2d,51684416.88,16481,350.63,6.7841,8
node_relu_4,relu,0.00,0,0.00,0.0000,0
node_conv_208,conv2d,115912947.63,37020,202.76,1.7492,8
node_relu_5,relu,0.00,0,0.00,0.0000,0
node_conv_210,conv2d,52587584.88,16769,363.37,6.9098,8
node_add_1,add,812224.88,259,283.61,349.1736,8
node_relu_6,relu,0.00,0,0.00,0.0000,0
node_conv_212,conv2d,51684416.88,16481,350.63,6.7841,8
node_relu_7,relu,0.00,0,0.00,0.0000,0
node_conv_214,conv2d,115912947.63,37020,226.60,1.9549,8
node_relu_8,relu,0.00,0,0.00,0.0000,0
node_conv_216,conv2d,52587584.88,16769,364.96,6.9401,8
node_add_2,add,812224.88,259,283.61,349.1736,8
node_relu_9,relu,0.00,0,0.00,0.0000,0
node_conv_218,conv2d,103365696.88,32961,350.63,3.3921,8
node_relu_10,relu,0.00,0,0.00,0.0000,0
node_conv_220,conv2d,115760009.63,147708,225.84,1.9509,8
node_relu_11,relu,0.00,0,0.00,0.0000,0
node_conv_222,conv2d,51983120.88,66305,357.78,6.8827,8
node_conv_224,conv2d,103365639.88,131841,350.63,3.3921,8
node_add_3,add,403760.88,515,234.85,581.6612,8
node_relu_12,relu,0.00,0,0.00,0.0000,0
node_conv_226,conv2d,51531536.88,65729,322.06,6.2498,8
node_relu_13,relu,0.00,0,0.00,0.0000,0
node_conv_228,conv2d,115757659.63,147680,225.84,1.9509,8
node_relu_14,relu,0.00,0,0.00,0.0000,0
node_conv_230,conv2d,51983120.88,66305,357.78,6.8827,8
node_add_4,add,403760.88,515,249.88,618.8689,8
node_relu_15,relu,0.00,0,0.00,0.0000,0
node_conv_232,conv2d,51531536.88,65729,322.06,6.2498,8
node_relu_16,relu,0.00,0,0.00,0.0000,0
node_conv_234,conv2d,115757659.63,147680,225.84,1.9509,8
node_relu_17,relu,0.00,0,0.00,0.0000,0
node_conv_236,conv2d,51983120.88,66305,357.78,6.8827,8
node_add_5,add,403760.88,515,259.40,642.4678,8
node_relu_18,relu,0.00,0,0.00,0.0000,0
node_conv_238,conv2d,51531536.88,65729,322.06,6.2498,8
node_relu_19,relu,0.00,0,0.00,0.0000,0
node_conv_240,conv2d,115757659.63,147680,225.84,1.9509,8
node_relu_20,relu,0.00,0,0.00,0.0000,0
node_conv_242,conv2d,51983120.88,66305,357.78,6.8827,8
node_add_6,add,403760.88,515,234.85,581.6612,8
node_relu_21,relu,0.00,0,0.00,0.0000,0
node_conv_244,conv2d,103062288.88,131457,322.06,3.1249,8
node_relu_22,relu,0.00,0,0.00,0.0000,0
node_conv_246,conv2d,115681777.63,590240,210.22,1.8172,8
node_relu_23,relu,0.00,0,0.00,0.0000,0
node_conv_248,conv2d,0.00,0,202.76,0.0000,0
node_conv_250,conv2d,103079855.88,525840,322.06,3.1244,8
node_add_7,add,226183.88,1090,313.77,1387.2550,8
node_relu_25,relu,0.00,0,0.00,0.0000,0
node_conv_254,conv2d,115681191.63,590226,210.22,1.8172,8
node_relu_26,relu,0.00,0,0.00,0.0000,0
node_conv_256,conv2d,51689119.88,263688,205.42,3.9742,8
node_add_8,add,226183.88,1090,313.77,1387.2550,8
node_relu_27,relu,12348.88,32,621.89,50360.0974,8
node_conv_258,conv2d,51463327.88,262560,401.45,7.8006,8
node_relu_28,relu,0.00,0,0.00,0.0000,0
node_conv_260,conv2d,115681191.63,590226,210.22,1.8172,8
node_relu_29,relu,0.00,0,0.00,0.0000,0
node_conv_262,conv2d,51688924.88,263688,432.71,8.3715,8
node_add_9,add,226183.88,1090,313.77,1387.2550,8
node_relu_30,relu,12348.88,32,621.89,50360.0974,8
node_conv_264,conv2d,51463327.88,262560,408.66,7.9409,8
node_relu_31,relu,0.00,0,0.00,0.0000,0
node_conv_266,conv2d,0.00,0,210.22,0.0000,0
node_relu_32,relu,0.00,0,0.00,0.0000,0
node_conv_268,conv2d,51689119.88,263688,202.72,3.9218,8
node_add_10,add,226183.88,1090,313.77,1387.2550,8
node_relu_33,relu,12348.88,32,621.89,50360.0974,8
node_conv_270,conv2d,51463327.88,262560,421.23,8.1851,8
node_relu_34,relu,0.00,0,0.00,0.0000,0
node_conv_272,conv2d,115681191.63,590226,210.22,1.8172,8
node_relu_35,relu,0.00,0,0.00,0.0000,0
node_conv_274,conv2d,51689119.88,263688,205.68,3.9791,8
node_add_11,add,226183.88,1090,313.77,1387.2550,8
node_relu_36,relu,12348.88,32,621.89,50360.0974,8
node_conv_276,conv2d,51463327.88,262560,364.43,7.0814,8
node_relu_37,relu,0.00,0,0.00,0.0000,0
node_conv_278,conv2d,115681191.63,590226,210.22,1.8172,8
node_relu_38,relu,0.00,0,0.00,0.0000,0
node_conv_280,conv2d,51689119.88,263688,207.00,4.0046,8
node_add_12,add,226183.88,1090,313.77,1387.2550,8
node_relu_39,relu,12348.88,32,621.89,50360.0974,8
node_conv_282,conv2d,102920188.88,525088,290.70,2.8245,8
node_relu_40,relu,0.00,0,0.00,0.0000,0
node_conv_284,conv2d,129918726.88,2360082,231.86,1.7846,8
node_relu_41,relu,0.00,0,0.00,0.0000,0
node_conv_286,conv2d,51534671.88,1051664,322.06,6.2494,8
node_conv_288,conv2d,103012801.63,2100225,242.31,2.3522,8
node_add_13,add,112993.88,2178,300.39,2658.4672,8
node_relu_42,relu,6223.88,64,526.59,84608.5347,8
node_conv_290,conv2d,51421727.88,1049408,403.55,7.8479,8
node_relu_43,relu,0.00,0,0.00,0.0000,0
node_conv_292,conv2d,129918719.88,2360075,286.37,2.2042,8
node_relu_44,relu,0.00,0,0.00,0.0000,0
node_conv_294,conv2d,51559759.88,1052176,322.06,6.2464,8
node_add_14,add,112993.88,2178,300.39,2658.4672,8
node_relu_45,relu,6223.88,64,526.59,84608.5347,8
node_conv_296,conv2d,51421727.88,1049408,400.16,7.7819,8
node_relu_46,relu,0.00,0,0.00,0.0000,0
